127.0.0.1 - - [03/Feb/2020:19:02:04 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:02:06 +0200] "GET /Autot/listaaautot.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:02:06 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:02:16 +0200] "GET /Autot/autot HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:01 +0200] "GET /Autot/listaaautot.jsp HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:01 +0200] "GET /Autot/autot HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:14 +0200] "GET /Autot/listaaautot.jsp HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:14 +0200] "GET /Autot/autot HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:08:21 +0200] "GET /Autot/listaaautot.jsp HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:08:22 +0200] "GET /Autot/autot HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:04 +0200] "GET /Autot/listaaautot.jsp HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:04 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:04 +0200] "GET /Autot/autot HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:18 +0200] "GET /Autot/listaaautot.jsp HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:18 +0200] "GET /Autot/autot HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:32 +0200] "GET /Autot/listaaautot.jsp HTTP/1.1" 200 1210
